resume_text,role
"python pandas numpy machine learning data analysis statistics","Data Scientist"
"python deep learning tensorflow keras pytorch","Data Scientist"
"sql excel power bi data visualization reporting","Data Analyst"
"html css javascript react frontend ui bootstrap","Web Developer"
"html css javascript angular typescript frontend","Web Developer"
"java spring boot mysql rest api backend development","Software Engineer"
"c++ data structures algorithms problem solving","Software Engineer"
"python django flask rest api backend","Software Engineer"
"android kotlin java mobile app development","Mobile Developer"
"swift ios xcode mobile application development","Mobile Developer"
"aws docker kubernetes devops ci cd linux","DevOps Engineer"
"linux networking shell scripting server management","System Administrator"
"figma ui ux wireframe prototyping design thinking","UI UX Designer"
"photoshop illustrator graphic design branding","Graphic Designer"
"tableau power bi business intelligence dashboards","Business Analyst"
"cyber security penetration testing ethical hacking","Security Analyst"
"network security firewall intrusion detection","Security Analyst"
"natural language processing nlp text classification","AI Engineer"
"computer vision opencv image processing cnn","AI Engineer"
"machine learning sklearn regression classification","AI Engineer"
